RESERVADA       int             (linha 1, coluna 1)
RESERVADA       main            (linha 1, coluna 5)
SEPARADOR       (               (linha 1, coluna 9)
SEPARADOR       )               (linha 1, coluna 10)
SEPARADOR       {               (linha 1, coluna 11)
RESERVADA       int             (linha 2, coluna 5)
IDENTIFICADOR   bvwi            (linha 2, coluna 9)
SEPARADOR       ;               (linha 2, coluna 13)
RESERVADA       printf          (linha 3, coluna 5)
SEPARADOR       (               (linha 3, coluna 11)
LITERAL         Hello World!\n  (linha 3, coluna 12)
SEPARADOR       )               (linha 3, coluna 28)
SEPARADOR       ;               (linha 3, coluna 29)
RESERVADA       return          (linha 4, coluna 5)
NUMERAL         0               (linha 4, coluna 12)
SEPARADOR       ;               (linha 4, coluna 13)
IDENTIFICADOR   aluno           (linha 5, coluna 5)
NUMERAL         234             (linha 5, coluna 11)
OPERADOR        ==              (linha 5, coluna 16)
OPERADOR        +=              (linha 5, coluna 19)
SEPARADOR       ;               (linha 5, coluna 24)
COMENTARIO       comentario de 
    bloco  (linha 7, coluna 5)
IDENTIFICADOR   teste           (linha 7, coluna 14)
COMENTARIO       comentario de linha (linha 8, coluna 5)
NUMERAL         24              (linha 10, coluna 5)
SEPARADOR       )               (linha 10, coluna 7)
NUMERAL         34              (linha 10, coluna 8)
RESERVADA       int             (linha 11, coluna 5)
IDENTIFICADOR   x               (linha 11, coluna 9)
OPERADOR        =               (linha 11, coluna 11)
OPERADOR        -               (linha 11, coluna 13)
NUMERAL         2               (linha 11, coluna 14)
SEPARADOR       ;               (linha 11, coluna 15)
IDENTIFICADOR   ajuda           (linha 12, coluna 5)
NUMERAL         3874            (linha 12, coluna 11)
OPERADOR        +               (linha 12, coluna 15)
IDENTIFICADOR   a               (linha 12, coluna 16)
SEPARADOR       ;               (linha 12, coluna 17)
RESERVADA       int             (linha 13, coluna 5)
OPERADOR        +               (linha 13, coluna 9)
IDENTIFICADOR   a               (linha 13, coluna 11)
SEPARADOR       ;               (linha 13, coluna 12)
NUMERAL         0               (linha 13, coluna 14)
NUMERAL         3               (linha 13, coluna 16)
OPERADOR        <               (linha 13, coluna 19)
OPERADOR        <               (linha 13, coluna 20)
SEPARADOR       )               (linha 13, coluna 22)
SEPARADOR       (               (linha 13, coluna 23)
SEPARADOR       ;               (linha 13, coluna 24)
RESERVADA       printf          (linha 14, coluna 5)
SEPARADOR       (               (linha 14, coluna 11)
LITERAL         teste \         (linha 14, coluna 12)
IDENTIFICADOR   oi              (linha 14, coluna 21)
LITERAL                         (linha 14, coluna 23)
SEPARADOR       )               (linha 14, coluna 25)
SEPARADOR       ;               (linha 14, coluna 26)
LITERAL         Linha 1
    linha 2 (linha 16, coluna 5)
RESERVADA       int             (linha 17, coluna 5)
IDENTIFICADOR   x               (linha 17, coluna 9)
OPERADOR        =               (linha 17, coluna 11)
NUMERAL         10              (linha 17, coluna 13)
SEPARADOR       ;               (linha 17, coluna 15)
COMENTARIO       comentário     (linha 17, coluna 17)
RESERVADA       int             (linha 17, coluna 34)
IDENTIFICADOR   y               (linha 17, coluna 38)
OPERADOR        =               (linha 17, coluna 40)
NUMERAL         20              (linha 17, coluna 42)
SEPARADOR       ;               (linha 17, coluna 44)
NUMERAL         3.14            (linha 18, coluna 5)
NUMERAL         5.3             (linha 18, coluna 10)
SEPARADOR       }               (linha 19, coluna 1)
