RESERVADA       int             (linha 1, coluna 1)
RESERVADA       main            (linha 1, coluna 5)
SEPARADOR       (               (linha 1, coluna 9)
SEPARADOR       )               (linha 1, coluna 10)
SEPARADOR       {               (linha 1, coluna 12)
COMENTARIO       1. Declarada e Usada (linha 2, coluna 5)
RESERVADA       int             (linha 3, coluna 5)
IDENTIFICADOR   nota_prova      (linha 3, coluna 9)
SEPARADOR       ;               (linha 3, coluna 19)
IDENTIFICADOR   nota_prova      (linha 4, coluna 5)
OPERADOR        =               (linha 4, coluna 16)
NUMERAL         10              (linha 4, coluna 18)
SEPARADOR       ;               (linha 4, coluna 20)
RESERVADA       int             (linha 6, coluna 5)
IDENTIFICADOR   global_var      (linha 6, coluna 9)
SEPARADOR       ;               (linha 6, coluna 19)
IDENTIFICADOR   global_var      (linha 7, coluna 5)
OPERADOR        =               (linha 7, coluna 16)
NUMERAL         10              (linha 7, coluna 18)
SEPARADOR       ;               (linha 7, coluna 20)
COMENTARIO       2. ERRO SEMÂNTICO: Tentando declarar a mesma variável de novo (linha 9, coluna 5)
RESERVADA       int             (linha 10, coluna 5)
IDENTIFICADOR   nota_prova      (linha 10, coluna 9)
SEPARADOR       ;               (linha 10, coluna 19)
COMENTARIO       3. WARNING: Variável declarada, mas nunca usada (linha 12, coluna 5)
RESERVADA       int             (linha 13, coluna 5)
IDENTIFICADOR   media_final     (linha 13, coluna 9)
SEPARADOR       ;               (linha 13, coluna 20)
RESERVADA       int             (linha 14, coluna 5)
IDENTIFICADOR   aluno_fantasma  (linha 14, coluna 9)
SEPARADOR       ;               (linha 14, coluna 23)
COMENTARIO       4. ERRO SEMÂNTICO: Usando uma variável que não existe (linha 16, coluna 5)
IDENTIFICADOR   nota_trabalho   (linha 17, coluna 5)
OPERADOR        =               (linha 17, coluna 19)
NUMERAL         8               (linha 17, coluna 21)
SEPARADOR       ;               (linha 17, coluna 22)
COMENTARIO       5. Cenário misto: A regra do '@VERIFICAR' agindo dentro da expressão (linha 19, coluna 5)
COMENTARIO       'media_final' existe e vai ser validada, mas 'bonus' não existe. (linha 20, coluna 5)
IDENTIFICADOR   media_final     (linha 21, coluna 5)
OPERADOR        =               (linha 21, coluna 17)
IDENTIFICADOR   nota_prova      (linha 21, coluna 19)
OPERADOR        +               (linha 21, coluna 30)
IDENTIFICADOR   bonus           (linha 21, coluna 32)
SEPARADOR       ;               (linha 21, coluna 37)
RESERVADA       if              (linha 23, coluna 5)
SEPARADOR       (               (linha 23, coluna 8)
IDENTIFICADOR   global_var      (linha 23, coluna 9)
SEPARADOR       )               (linha 23, coluna 19)
SEPARADOR       {               (linha 23, coluna 21)
COMENTARIO       Entramos num novo escopo! (linha 24, coluna 9)
RESERVADA       int             (linha 25, coluna 9)
IDENTIFICADOR   local_var       (linha 25, coluna 13)
SEPARADOR       ;               (linha 25, coluna 22)
RESERVADA       int             (linha 26, coluna 9)
IDENTIFICADOR   fantasma_local  (linha 26, coluna 13)
SEPARADOR       ;               (linha 26, coluna 27)
COMENTARIO       Funciona, porque o local enxerga o global: (linha 28, coluna 9)
