RESERVADA       include         (linha 1, coluna 1)
OPERADOR        <               (linha 1, coluna 9)
IDENTIFICADOR   stdio           (linha 1, coluna 10)
IDENTIFICADOR   h               (linha 1, coluna 15)
OPERADOR        >               (linha 1, coluna 16)
RESERVADA       int             (linha 3, coluna 1)
RESERVADA       main            (linha 3, coluna 5)
SEPARADOR       (               (linha 3, coluna 9)
SEPARADOR       )               (linha 3, coluna 10)
SEPARADOR       {               (linha 3, coluna 11)
RESERVADA       int             (linha 4, coluna 5)
IDENTIFICADOR   bvwi            (linha 4, coluna 9)
SEPARADOR       ;               (linha 4, coluna 13)
RESERVADA       printf          (linha 5, coluna 5)
SEPARADOR       (               (linha 5, coluna 11)
LITERAL         Hello World!\n  (linha 5, coluna 12)
SEPARADOR       )               (linha 5, coluna 28)
SEPARADOR       ;               (linha 5, coluna 29)
RESERVADA       return          (linha 6, coluna 5)
NUMERAL         0               (linha 6, coluna 12)
SEPARADOR       ;               (linha 6, coluna 13)
IDENTIFICADOR   aluno           (linha 7, coluna 5)
NUMERAL         234             (linha 7, coluna 11)
OPERADOR        ==              (linha 7, coluna 16)
OPERADOR        +=              (linha 7, coluna 19)
SEPARADOR       ;               (linha 7, coluna 24)
COMENTARIO       comentario de 
    bloco  (linha 9, coluna 5)
IDENTIFICADOR   teste           (linha 9, coluna 14)
COMENTARIO       comentario de linha (linha 10, coluna 5)
NUMERAL         24              (linha 12, coluna 5)
SEPARADOR       )               (linha 12, coluna 7)
NUMERAL         34              (linha 12, coluna 8)
RESERVADA       int             (linha 13, coluna 5)
IDENTIFICADOR   x               (linha 13, coluna 9)
OPERADOR        =               (linha 13, coluna 11)
OPERADOR        -               (linha 13, coluna 13)
NUMERAL         2               (linha 13, coluna 14)
SEPARADOR       ;               (linha 13, coluna 15)
IDENTIFICADOR   ajuda           (linha 14, coluna 5)
NUMERAL         3874            (linha 14, coluna 11)
OPERADOR        +               (linha 14, coluna 15)
IDENTIFICADOR   a               (linha 14, coluna 16)
SEPARADOR       ;               (linha 14, coluna 17)
RESERVADA       int             (linha 15, coluna 5)
OPERADOR        +               (linha 15, coluna 9)
IDENTIFICADOR   a               (linha 15, coluna 11)
SEPARADOR       ;               (linha 15, coluna 12)
NUMERAL         0               (linha 15, coluna 14)
NUMERAL         3               (linha 15, coluna 16)
OPERADOR        <               (linha 15, coluna 19)
OPERADOR        <               (linha 15, coluna 20)
SEPARADOR       )               (linha 15, coluna 22)
SEPARADOR       (               (linha 15, coluna 23)
SEPARADOR       ;               (linha 15, coluna 24)
SEPARADOR       }               (linha 16, coluna 1)
